timestamp,agent,session_file,total_cost_usd,input_tokens,cache_creation_tokens,cache_read_tokens,output_tokens,is_error,models_used,model_costs_json
2026-02-27T12:00:02,susan,session_20260227_120002.jsonl,0.6037096,55,47098,637649,3434,False,claude-opus-4-5-20251101;claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-opus-4-5-20251101"":{""cost"":0.11156574999999999,""in"":6,""out"":434,""cache_read"":11134,""cache_create"":15219},""claude-haiku-4-5-20251001"":{""cost"":0.07255665,""in"":58707,""out"":1030,""cache_read"":11134,""cache_create"":6069},""claude-sonnet-4-5-20250929"":{""cost"":0.4195872,""in"":55,""out"":3434,""cache_read"":637649,""cache_create"":47098}}"
2026-02-27T15:00:02,susan,session_20260227_150002.jsonl,0.88034595,63,59069,1130506,7380,False,claude-haiku-4-5-20251001;claude-opus-4-5-20251101;claude-sonnet-4-5-20250929,"{""claude-haiku-4-5-20251001"":{""cost"":0.09823065000000002,""in"":82491,""out"":1408,""cache_read"":11134,""cache_create"":6069},""claude-opus-4-5-20251101"":{""cost"":0.11056574999999999,""in"":6,""out"":394,""cache_read"":11134,""cache_create"":15219},""claude-sonnet-4-5-20250929"":{""cost"":0.6715495500000002,""in"":63,""out"":7380,""cache_read"":1130506,""cache_create"":59069}}"
2026-02-27T18:00:02,susan,session_20260227_180002.jsonl,0.7793258999999996,136,50502,1001080,6724,False,claude-haiku-4-5-20251001;claude-opus-4-5-20251101;claude-sonnet-4-5-20250929,"{""claude-haiku-4-5-20251001"":{""cost"":0.07811065000000003,""in"":63941,""out"":1094,""cache_read"":11134,""cache_create"":6069},""claude-opus-4-5-20251101"":{""cost"":0.11024075,""in"":6,""out"":381,""cache_read"":11134,""cache_create"":15219},""claude-sonnet-4-5-20250929"":{""cost"":0.5909744999999998,""in"":136,""out"":6724,""cache_read"":1001080,""cache_create"":50502}}"
2026-02-27T21:00:02,susan,session_20260227_210002.jsonl,0.5085355999999999,55,29836,536754,4354,False,claude-opus-4-5-20251101;claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-opus-4-5-20251101"":{""cost"":0.10711575,""in"":6,""out"":256,""cache_read"":11134,""cache_create"":15219},""claude-haiku-4-5-20251001"":{""cost"":0.06303365,""in"":47919,""out"":1283,""cache_read"":11134,""cache_create"":6069},""claude-sonnet-4-5-20250929"":{""cost"":0.33838619999999997,""in"":55,""out"":4354,""cache_read"":536754,""cache_create"":29836}}"
2026-02-27T00:20:02,debater,session_20260227_002002.jsonl,0.6212582500000001,79,43886,729087,3099,False,claude-opus-4-5-20251101;claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-opus-4-5-20251101"":{""cost"":0.10417825,""in"":6,""out"":217,""cache_read"":11134,""cache_create"":14905},""claude-haiku-4-5-20251001"":{""cost"":0.0870594,""in"":73391,""out"":1033,""cache_read"":11134,""cache_create"":5912},""claude-sonnet-4-5-20250929"":{""cost"":0.43002060000000003,""in"":79,""out"":3099,""cache_read"":729087,""cache_create"":43886}}"
2026-02-27T03:20:02,debater,session_20260227_032002.jsonl,0.7129260500000001,57,55122,886043,2751,False,claude-opus-4-5-20251101;claude-sonnet-4-5-20250929;claude-haiku-4-5-20251001,"{""claude-opus-4-5-20251101"":{""cost"":0.10550325,""in"":6,""out"":270,""cache_read"":11134,""cache_create"":14905},""claude-sonnet-4-5-20250929"":{""cost"":0.5139563999999999,""in"":57,""out"":2751,""cache_read"":886043,""cache_create"":55122},""claude-haiku-4-5-20251001"":{""cost"":0.09346639999999999,""in"":79178,""out"":1157,""cache_read"":11134,""cache_create"":5912}}"
2026-02-27T06:20:01,debater,session_20260227_062001.jsonl,0.7593561499999999,51,63796,923095,2905,False,claude-opus-4-5-20251101;claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-opus-4-5-20251101"":{""cost"":0.10350325,""in"":6,""out"":190,""cache_read"":11134,""cache_create"":14905},""claude-haiku-4-5-20251001"":{""cost"":0.0959614,""in"":82648,""out"":962,""cache_read"":11134,""cache_create"":5912},""claude-sonnet-4-5-20250929"":{""cost"":0.5598915,""in"":51,""out"":2905,""cache_read"":923095,""cache_create"":63796}}"
2026-02-27T09:20:02,debater,session_20260227_092002.jsonl,0.7098874999999998,76,61037,807167,2804,False,claude-opus-4-5-20251101;claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-opus-4-5-20251101"":{""cost"":0.10582825000000001,""in"":6,""out"":283,""cache_read"":11134,""cache_create"":14905},""claude-haiku-4-5-20251001"":{""cost"":0.09073239999999999,""in"":77179,""out"":1010,""cache_read"":11134,""cache_create"":5912},""claude-sonnet-4-5-20250929"":{""cost"":0.51332685,""in"":76,""out"":2804,""cache_read"":807167,""cache_create"":61037}}"
2026-02-27T12:20:02,debater,session_20260227_122002.jsonl,0.6389979499999998,45,43872,839761,3147,False,claude-opus-4-5-20251101;claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-opus-4-5-20251101"":{""cost"":0.10485325000000001,""in"":6,""out"":244,""cache_read"":11134,""cache_create"":14905},""claude-haiku-4-5-20251001"":{""cost"":0.07035640000000001,""in"":57318,""out"":907,""cache_read"":11134,""cache_create"":5912},""claude-sonnet-4-5-20250929"":{""cost"":0.4637883,""in"":45,""out"":3147,""cache_read"":839761,""cache_create"":43872}}"
2026-02-27T15:20:02,debater,session_20260227_152002.jsonl,0.7791020499999998,45,55250,1111323,3280,False,claude-opus-4-5-20251101;claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-opus-4-5-20251101"":{""cost"":0.10615325,""in"":6,""out"":296,""cache_read"":11134,""cache_create"":14905},""claude-haiku-4-5-20251001"":{""cost"":0.0830294,""in"":69541,""out"":997,""cache_read"":11134,""cache_create"":5912},""claude-sonnet-4-5-20250929"":{""cost"":0.5899194000000002,""in"":45,""out"":3280,""cache_read"":1111323,""cache_create"":55250}}"
2026-02-27T18:20:02,debater,session_20260227_182002.jsonl,0.7287548500000002,65,55828,883234,4049,False,claude-opus-4-5-20251101;claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-opus-4-5-20251101"":{""cost"":0.10390325,""in"":6,""out"":206,""cache_read"":11134,""cache_create"":14905},""claude-haiku-4-5-20251001"":{""cost"":0.0895964,""in"":74673,""out"":1284,""cache_read"":11134,""cache_create"":5912},""claude-sonnet-4-5-20250929"":{""cost"":0.5352552,""in"":65,""out"":4049,""cache_read"":883234,""cache_create"":55828}}"
2026-02-27T21:20:01,debater,session_20260227_212001.jsonl,0.7333115499999999,72,50352,751591,2782,False,claude-opus-4-5-20251101;claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-opus-4-5-20251101"":{""cost"":0.10630325000000002,""in"":6,""out"":302,""cache_read"":11134,""cache_create"":14905},""claude-haiku-4-5-20251001"":{""cost"":0.0835054,""in"":69837,""out"":1033,""cache_read"":11134,""cache_create"":5912},""claude-sonnet-4-5-20250929"":{""cost"":0.5435029,""in"":82,""out"":3706,""cache_read"":753848,""cache_create"":67070}}"
